编号,店名,address,维度,经度,分区,分类,电话,类别
5293,成龙电动车,振兴路3弄43号,30.06267789,119.9416606,杭州市;富阳区,购物;其它购物, ,3997
5356,大源张吉林电瓶车行,亭山西路45附近,30.00412885,120.0008651,杭州市;富阳区,购物;自行车专卖,0571-63591099,2124
5752,五星钻豹新登电动车总经销,胥口村综合大楼(胥口镇政府西南),29.98563958,119.6644991,杭州市;富阳区,购物;自行车专卖,0571-63282117,2368
5878,杭州安琪儿车业,受降七里路1号,30.13020307,119.9610618,杭州市;富阳区,购物;自行车专卖,15888821125,3997
6112,美利达自行车(富阳专卖店),明裕花苑(大桥路北),30.0584325,119.9535323,杭州市;富阳区,购物;自行车专卖, ,3997
6868,粥公粥婆(富阳店),育才西路399号,30.06177991,119.9349785,杭州市;富阳区,美食;烧烤,0571-61711833,3997
7813,蔡家面馆,江堤路22-～1,30.04488573,119.9428404,杭州市;富阳区,美食;小吃快餐,18258165652,3997
7867,福建沙县特色小吃,富春万星碧云天公寓东北(兴达路),30.05939817,119.941531,杭州市;富阳区,美食;小吃快餐,13567183986,3997
8056,千年银杏公园,石岭村,30.05954863,119.7046901,杭州市;富阳区,休闲娱乐;旅游景点, ,2368
8110,高联村石山,胥口镇,29.96591101,119.6419631,杭州市;富阳区,休闲娱乐;旅游景点, ,2368
8137,鹳山风景区,鹳山路2,30.0483894,119.9589628,杭州市;富阳区,休闲娱乐;旅游景点,0571-23281803,3997
8146,鹳山浴室,富春江东宾馆(花坞南路店)南,30.05062212,119.9578648,杭州市;富阳区,休闲娱乐;洗浴推拿足疗, ,3997
8155,新新(鹳山店),鹳山路21-18,30.05073747,119.9597211,杭州市;富阳区,购物;便利店, ,3997
8173,富阳区人事考试中心,鹳山路,30.05054765,119.9596513,杭州市;富阳区,机构团体;政府机关, ,3997
8182,鹳山脚卷烟零售商店,花坞南路19-1,30.04938292,119.9575455,杭州市;富阳区,购物;烟酒专卖,0571-63323313,3997
8191,中共鹳山社区居委会,达夫路57号附近,30.05043928,119.9549204,杭州市;富阳区,机构团体;政府机关, ,3997
8200,杭州富阳宾馆-足浴,富春杭州富阳宾馆(鹳山风景区东北),30.05145159,119.9620163,杭州市;富阳区,休闲娱乐;洗浴推拿足疗,0571-63331888,3997
8209,浙江南国大酒店-会议厅,馆驿里8号浙江南国大酒店,30.0509034,119.9613178,杭州市;富阳区,文化场馆;会展中心,0571-63138888; 0571-63138899,3997
8218,晨雨小吃,富春科技局(鹳山风景区北),30.0512395,119.9589127,杭州市;富阳区,美食;小吃快餐,15267131586,3997
8227,富中国家级青少年体育俱乐部,馆驿路1号,30.04873513,119.9606494,杭州市;富阳区,运动健身;综合体育场馆,0571-63326892,3997
8236,圣丽画廊,桂花路5-6,30.05092963,119.9588628,杭州市;富阳区,购物;古玩字画, ,3997
8245,知蜂堂(桂花路店),桂花路7-2,30.05099028,119.9586033,杭州市;富阳区,购物;其它购物,0571-63010407,3997
8254,春江月西餐厅,馆驿里8号浙江南国大酒店20楼,30.0509034,119.9613178,杭州市;富阳区,美食;西餐,0571-63138888,3997
8263,公共厕所,富春鹳山风景区(富春路东),30.04913857,119.9592921,杭州市;富阳区,基础设施;公共厕所, ,3997
8272,富阳市飞龙体育用品,富春街道富春路6号,30.04901141,119.9581544,杭州市;富阳区,购物;体育户外,0571-23282719,3997
8281,沙县小吃(老人民医院店),富春街道鹳山路21号,30.05079709,119.9598708,杭州市;富阳区,美食;小吃快餐, ,3997
8290,玉华音乐茶吧,鹳山路20号3楼,30.05019861,119.959272,杭州市;富阳区,休闲娱乐;KTV,15168252659,3997
8299,富中青少年体育俱乐部售票处,富春街与鹳山路交叉口东150米,30.04916561,119.9604597,杭州市;富阳区,生活服务;票务代售, ,3997
8308,1988时尚男装,花坞南路郁达夫公园东北(鹳山风景区西),30.05028264,119.9576552,杭州市;富阳区,购物;服饰鞋包, ,3997
8317,张氏富阳丹康烤饼店,桂花路与鹳山路交叉口南100米,30.05051851,119.9593119,杭州市;富阳区,美食;中餐厅,15868846346,3997
8452,杭州富阳利和机动车驾驶模拟培训有限公司,富春傲胜游泳健身东(蒋家桥路北),30.06385112,119.9399527,杭州市;富阳区,汽车;驾校, ,3997
8569,正宗贵州黄牛肉馆,凌桥宾馆(春永线北),30.03293828,120.0289555,杭州市;富阳区,美食;小吃快餐,18069769718,2124
8596,贵州黄牛肉馆,富春街道后拔路236号,30.05516959,119.9408023,杭州市;富阳区,美食;中餐厅,18225874396,3997
9154,小刚杭帮菜馆,受降镇农贸市场北(受降镇中学东),30.13015276,119.9611816,杭州市;富阳区,美食;中餐厅,15888835548,3997
9163,火焰鹅餐馆,后周路123号(永兴中学东门对过),30.06058147,119.9340395,杭州市;富阳区,美食;中餐厅,0571-23283506,3997
9181,回头饭店,环山中学,29.93838526,119.925666,杭州市;富阳区,美食;中餐厅, ,2124
9316,君君烟酒商行,体育馆路462,30.04677258,119.9265467,杭州市;富阳区,购物;烟酒专卖, ,3997
9334,鸿鼎烟酒.土特产,文教路182号,30.03614129,119.9342613,杭州市;富阳区,购物;烟酒专卖, ,3997
9343,老董土特产专营店,大源镇朝阳路36号,30.00530409,120.0057524,杭州市;富阳区,购物;烟酒专卖,13606510736,2124
9361,杭州市富阳区风景旅游局,文教路1,30.04823008,119.9349396,杭州市;富阳区,机构团体;政府机关,0571-63330456,3997
9379,富春桃源风景旅游区售票处,西北部桐庐接壤处的胥口境内,30.01161828,119.6303424,杭州市;富阳区,生活服务;票务代售, ,2368
9442,杭州野生动物世界-乘车游览区,受降镇杭富路九龙大道1号杭州野生动物世界内,30.15433598,119.981313,杭州市;富阳区,休闲娱乐;旅游景点, ,3997
9649,横凉亭路, ,30.04969303,119.91702,杭州市;富阳区,基础设施;道路名, ,3997
9658,海信(横凉亭路),金苑路8号汽车西站东侧(近妇保医院),30.05061853,119.9215588,杭州市;富阳区,购物;数码家电, ,3997
9667,杭州市富阳区妇幼保健院-门诊综合楼,横凉亭路25,30.04981475,119.9248174,杭州市;富阳区,医疗保健;医疗保健附属,0571-63135033,3997
9676,潮童天地(横凉亭路),横凉亭路10-23号附近,30.05078169,119.9271959,杭州市;富阳区,购物;母婴儿童, ,3997
9685,汇丰大厦,横凉亭路3号,30.0501108,119.9278555,杭州市;富阳区,建筑房产;商务楼宇, ,3997
9694,星乐迪KTV(东方茂店),横凉亭路6号东方茂购物中心B座4层4002,30.05070165,119.9272259,杭州市;富阳区,休闲娱乐;KTV,0571-61766688,3997
9703,中国石化富阳城西加油站,富阳镇农民城(横凉亭路7号),30.05011191,119.9270361,杭州市;富阳区,汽车;加油站,0571-63369971,3997
9712,初鲜外带寿司(东方茂店),横凉亭路1-9号,30.05028993,119.9284851,杭州市;富阳区,美食;日韩菜,0571-63125010,3997
9721,西门子家电专卖店,横凉亭路170,30.0497474,119.91127,杭州市;富阳区,购物;数码家电, ,3997
9730,杭州乐绚颜料有限公司,横凉亭路辅路,30.02044056,119.8118343,杭州市;富阳区,公司企业;公司企业, ,2368
9739,中国农业银行24小时自助银行(杭州富春支行),横凉亭路11,30.05018263,119.9264864,杭州市;富阳区,银行金融;自动提款机, ,3997
9748,水荣汽车修理,横凉亭路288-2,30.04932003,119.9061485,杭州市;富阳区,汽车;汽车维修,13588375451,3997
9757,随意餐馆,横凉亭路28号2号楼号1,30.05026963,119.9205392,杭州市;富阳区,美食;中餐厅,0571-63368373; 13868163580,3997
9766,车辆检测站-后门,横凉亭路189号,30.04756147,119.9187299,杭州市;富阳区,基础设施;门/出入口, ,3997
9775,微笑宝贝(精致儿童摄影),横凉亭路3-3,30.05029064,119.9279754,杭州市;富阳区,生活服务;摄影冲印,18658898866,3997
9784,永德利化工涂料有限公司,横凉亭路209号,30.04923619,119.9130802,杭州市;富阳区,公司企业;公司企业, ,3997
9793,千岛湖鱼头馆,横凉亭路203号附近,30.04917523,119.9143703,杭州市;富阳区,美食;中餐厅,0571-63131592; 13093796557,3997
9802,铁木英雄板材,横凉亭路199号附近,30.04937473,119.9150102,杭州市;富阳区,购物;家具家居建材, ,3997
9811,跳跳免扳材店,横凉亭路201号,30.04873489,119.9148203,杭州市;富阳区,购物;其它购物, ,3997
9820,新洪叶布艺,横凉亭路北100米,30.0506801,119.9200793,杭州市;富阳区,购物;家具家居建材,13968177890,3997
9829,钢圈厂路, ,30.0485532,119.9260568,杭州市;富阳区,基础设施;道路名, ,3997
9838,森歌集成灶富阳店,横凉亭路154,30.04977711,119.91171,杭州市;富阳区,购物;数码家电,13989830242,3997
9847,伟昌铝材,横凉亭路360号,30.04892148,119.9010457,杭州市;富阳区,购物;家具家居建材,0571-63338539,3997
9856,飞阳跆拳道教育连锁(横凉亭馆),横凉亭路71号,30.04964801,119.9220387,杭州市;富阳区,运动健身;跆拳道, ,3997
9865,睦泽苑西区,香槟路113,30.05194712,119.9116798,杭州市;富阳区,建筑房产;住宅小区, ,3997
9874,桂芳地毯,横凉亭路30号附近,30.05088952,119.9206391,杭州市;富阳区,购物;家具家居建材, ,3997
9883,香港艾妮产后恢复护理(富阳店),横凉亭路3-2号附近,30.05031066,119.9279554,杭州市;富阳区,医疗保健;其它医疗保健, ,3997
9892,秋丰灯具店,横凉亭路综合市场,30.0501997,119.9204692,杭州市;富阳区,购物;家具家居建材, ,3997
9901,24小时营业,横凉亭路,30.05007457,119.9249673,杭州市;富阳区,生活服务;邮局速递, ,3997
9910,富阳德通汽车修理厂-东门,横凉亭路179号附近,30.04884382,119.9161202,杭州市;富阳区,基础设施;门/出入口, ,3997
9919,富阳阿晓轮胎经营部,横凉亭路与305省道交叉口东南50米,30.04878993,119.9063987,杭州市;富阳区,汽车;汽车养护,13868166162,3997
9928,杰仕健身东方茂店,横凉亭路6号东方茂购物中心B座4层4003,30.05070165,119.9272259,杭州市;富阳区,休闲娱乐;游乐场,0571-22872666,3997
9937,项银花馄饨,横凉亭路1-14,30.05033018,119.9283052,杭州市;富阳区,美食;小吃快餐,15757187122,3997
9946,爱就推门富阳玩具专卖店NO.B0716,横凉亭路6号东方茂购物中心B座,30.05131129,119.9274857,杭州市;富阳区,购物;母婴儿童, ,3997
9955,尊顶牛排富阳东方茂店,金桥北路1号东方茂购物中心A座3011,30.050919,119.9291445,杭州市;富阳区,美食;西餐,0571-63363517; 0571-63363537,3997
9964,杭州七佳红餐饮连锁有限公司,横凉亭路东方茂购物中心1号楼3层,30.05079065,119.9279654,杭州市;富阳区,公司企业;公司企业, ,3997
9973,金鑫建材家居广场电动汽车充电站,横凉亭路208号金鑫建材家居广场北侧停车场,30.05149789,119.9104397,杭州市;富阳区,汽车;加油站,4001300001,3997
9982,富阳恒信财务咨询有限公司,横凉亭路3号汇丰大厦5层509,30.0501108,119.9278555,杭州市;富阳区,银行金融;财务公司, ,3997
9991,贝倍乐,富春街道横凉亭路19-15号,30.05012464,119.9249073,杭州市;富阳区,公司企业;公司企业, ,3997
10000,富阳翰风文化传播有限公司,横凉亭路3号汇丰大厦13层1303,30.0501108,119.9278555,杭州市;富阳区,公司企业;公司企业, ,3997
10009,富阳市聚钲纸业有限公司,横凉亭路3号汇丰大厦9层,30.0501108,119.9278555,杭州市;富阳区,公司企业;公司企业, ,3997
10018,富阳市富宝石业有限公司,横凉亭路189号14幢,30.04766232,119.9178201,杭州市;富阳区,公司企业;公司企业, ,3997
10027,深渡文化传媒有限公司,横凉亭路3号汇丰大厦11层1104,30.0501108,119.9278555,杭州市;富阳区,公司企业;公司企业, ,3997
10036,维意酒业,横凉亭路3号汇丰大厦10层1008,30.0501108,119.9278555,杭州市;富阳区,公司企业;公司企业, ,3997
10045,杭州富拓建设工程有限公司,横凉亭路3号汇丰大厦13层1305,30.0501108,119.9278555,杭州市;富阳区,公司企业;公司企业, ,3997
10054,耐普灯具店,横凉亭路综合市场95-100号,30.0502397,119.9204692,杭州市;富阳区,购物;家具家居建材, ,3997
10063,汽车环保尾气检测站-签证大厅,横凉亭路169号汽车环保尾气检测站,30.049573,119.91706,杭州市;富阳区,机构团体;政府机关, ,3997
10072,滴水关工委办公室,富春街道横凉亭路187号华策明坤汽修二楼,30.04812018,119.9200195,杭州市;富阳区,机构团体;政府机关, ,3997
10081,路易摩登瓷砖,横凉亭路208号金鑫国际建材家具广场1楼,30.0501783,119.9097396,杭州市;富阳区,购物;家具家居建材, ,3997
10090,CAV(富阳体验店),富春街道横凉亭路(金鑫建材市场旁),30.04965767,119.9108299,杭州市;富阳区,购物;数码家电,15888827113,3997
10099,方太燃气灶,横凉亭路与秋丰路交叉口东北50米,30.0496071,119.91173,杭州市;富阳区,购物;家具家居建材, ,3997
10108,来德利陶瓷,横凉亭路与香槟路交叉口东南200米,30.04850571,119.9137403,杭州市;富阳区,购物;家具家居建材, ,3997
10117,好日子窗帘,横凉亭路28号综合市场,30.0506901,119.9200793,杭州市;富阳区,购物;家具家居建材,13758220698; 13868158628,3997
10126,汤浅蓄电池,秋丰横凉亭路169号,30.04954249,119.9176199,杭州市;富阳区,购物;其它购物,15258859120,3997
10135,芝麻街英语富阳中心,横凉亭路东方茂B座1楼,30.05137921,119.9289946,杭州市;富阳区,教育学校;培训,0571-63338558,3997
10144,富阳昕馨园健康教育中心,横凉亭路3号汇丰大厦6层601,30.0501108,119.9278555,杭州市;富阳区,教育学校;培训, ,3997
10153,奢莲养生馆,劳动路与横凉亭路交叉口南100米,30.04988942,119.9288548,杭州市;富阳区,生活服务;美容美发, ,3997
10162,金根商店,木材综合市场(横凉亭路南),30.04937473,119.9150102,杭州市;富阳区,购物;超市, ,3997
10171,DQ(东方茂店),金桥北路1号东方茂购物中心A座1052,30.0509307,119.9279254,杭州市;富阳区,美食;冷饮店,0571-82161210,3997
10180,富阳魔方教育培训中心,桂花西路309-7号4楼,30.05010936,119.9288948,杭州市;富阳区,教育学校;培训,0571-63339908,3997
10189,交通银行(杭州富阳金桥南路支行),桂花西路281旁,30.05028764,119.9300939,杭州市;富阳区,银行金融;银行,0571-63319146,3997
10198,韩村?韩国料理(东方茂购物中心店),金桥北路1号东方茂购物中心F3层A3010,30.050919,119.9291445,杭州市;富阳区,美食;日韩菜,15381074633,3997
10207,万华汽车一站式服务,金浦路33,30.04832333,119.9259569,杭州市;富阳区,汽车;汽车养护,18657173599,3997
10216,ZOLLE,金桥北路1号东方茂购物中心F1层,30.05125959,119.9287248,杭州市;富阳区,购物;服饰鞋包,15068767120,3997
10225,中国移动(银通指定专营店),金桥南路2-8,30.05018899,119.9291546,杭州市;富阳区,购物;数码家电, ,3997
10234,富阳市丰硕贸易有限公司,桂花西路309-27～29星光园内,30.04965935,119.9289048,杭州市;富阳区,公司企业;公司企业,0571-23222003,3997
10243,稻草人(东方茂购物中心),金桥北路1号东方茂购物中心F1层B1026A,30.05104119,119.9275657,杭州市;富阳区,购物;服饰鞋包,13858099233,3997
10252,公共厕所,富春汇丰大厦(东方茂购物中心西南),30.05012169,119.927196,杭州市;富阳区,基础设施;公共厕所, ,3997
10261,福临珠宝,复城国际沃尔玛3层,30.05141974,119.9286149,杭州市;富阳区,购物;珠宝饰品, ,3997
10270,慕思健康睡眠体验馆,金浦路86,30.05109334,119.9259367,杭州市;富阳区,购物;家具家居建材,0571-63161590,3997
10279,英伦美家,金秋大道108号金鑫市场2区,30.05137876,119.9088693,杭州市;富阳区,购物;家具家居建材,0571-63100585,3997
10288,竹兰雅,复城国际沃尔玛1层,30.05111972,119.9286349,杭州市;富阳区,购物;其它购物, ,3997
10297,天乙珠宝,东方茂购物中心B座1层,30.05070165,119.9272259,杭州市;富阳区,购物;珠宝饰品, ,3997
10306,杰杰莹门业,金苑路5,30.05063748,119.9225084,杭州市;富阳区,购物;家具家居建材, ,3997
10396,虎山家具城,孙权路12,30.06077186,119.9447065,杭州市;富阳区,购物;家具家居建材, ,3997
10423,虎山停车场,东南汽运股份富阳汽车销售分公司,30.07749387,119.9383834,杭州市;富阳区,汽车;停车场, ,3997
10468,龙石,富春街道虎山,30.07521593,119.960248,杭州市;富阳区,休闲娱乐;旅游景点, ,3997
10963,黄公望森林公园[公交站],"595,595B,301",30.07858602,120.0112873,杭州市;富阳区,基础设施;公交车站, ,2124
11746,大娘饺子(西堤路店),西堤路106-10,30.04889232,119.9445277,杭州市;富阳区,美食;小吃快餐,0571-23283128,3997
11863,东北饺子馆,后周路160,30.06014833,119.9359276,杭州市;富阳区,美食;小吃快餐,0571-63330717,3997
11962,东北饺子馆,富春思恩堂东60米(儿童公园西南),30.05488041,119.9403729,杭州市;富阳区,美食;小吃快餐,0571-63320681,3997
12430,定海神针,胥口镇上练村富春桃源风景区九霄碧云洞内,30.01507718,119.6311014,杭州市;富阳区,休闲娱乐;旅游景点, ,2368
12439,法安降虎,胥口镇上练村富春桃源风景区九霄碧云洞内,30.01415422,119.6331593,杭州市;富阳区,休闲娱乐;旅游景点, ,2368
14536,百事通旅行社(富阳文教路丁香花园营业部),文教北路241号,30.05699166,119.9339399,杭州市;富阳区,旅游服务;旅行社, ,3997
14554,旅游百事通旅行社有限公司新登镇(葛溪西路营业厅),大华新兴花园小区(葛溪西路北),29.97039903,119.7229675,杭州市;富阳区,旅游服务;旅行社,0571-63288777,2368
14581,旅游百事通(富阳金桥南路营业部),富春街道金桥南路13-6,30.04860758,119.930144,杭州市;富阳区,旅游服务;旅行社, ,3997
16561,千岛湖的味道,富春行政服务中心公交站西,30.04672521,119.9244678,杭州市;富阳区,美食;其它美食, ,3997
17065,清风?泰安苑西区,清风?泰安苑西区(香槟路西90米),30.06171752,119.9109189,杭州市;富阳区,建筑房产;住宅小区, ,3997
17074,清风网络科技,孙权路春城大厦二单元19楼,30.05299318,119.9330111,杭州市;富阳区,购物;数码家电, ,3997
17101,清风?泰安苑10幢,富春街道育才西路清风?泰安苑,30.06193659,119.9123591,杭州市;富阳区,建筑房产;住宅小区, ,3997
17110,清风阳光苑13号楼,富春清风阳光苑小区(玉长城商业广场西北),30.06517957,119.935168,杭州市;富阳区,建筑房产;房产小区附属, ,3997
17119,清风阳光苑小区9号楼,富春清风阳光苑小区(文教北路东),30.06535107,119.9342589,杭州市;富阳区,建筑房产;住宅小区, ,3997
17173,vivo专卖店,富春清风公寓南70米(恩波公园西),30.05104686,119.9471436,杭州市;富阳区,购物;数码家电,15268586988,3997
17191,清风公寓-东南二门,苋浦路9号,30.05180508,119.9479722,杭州市;富阳区,基础设施;门/出入口, ,3997
17218,停车场,富春清风公寓(东南商贸中心东南),30.05206816,119.9465245,杭州市;富阳区,汽车;停车场, ,3997
17245,清风阳光苑小区停车场-出入口,春秋北路379-14号附近,30.06581984,119.9349981,杭州市;富阳区,基础设施;门/出入口, ,3997
17254,速递易,笕浦路9号清风公寓,30.05178557,119.9477426,杭州市;富阳区,生活服务;邮局速递, ,3997
17263,风尚数码手机专卖店,桂花西路清风公寓南50米(东吴公馆东北),30.05110794,119.9466344,杭州市;富阳区,购物;数码家电, ,3997
17281,1号?先生,富春清风公寓西南(西堤北路东),30.05148859,119.9463248,杭州市;富阳区,购物;服饰鞋包, ,3997
17290,育才西路952号楼,育才西路清风?泰安苑西南200米,30.06052807,119.9099988,杭州市;富阳区,建筑房产;住宅小区, ,3997
17704,上唐村老年活动中心,唐氏宗祠附近,30.05637022,119.8225431,杭州市;富阳区,建筑房产;社区中心, ,3997
17938,双庙森林休闲公园,新罗线附近,29.919625,119.7017747,杭州市;富阳区,休闲娱乐;旅游景点, ,2368
18361,过路人台湾饭团(龙浦街店),龙浦街181,30.05383885,119.9550898,杭州市;富阳区,美食;小吃快餐,13906717627,3997
18478,华莱士(西堤路店),西堤路181-2,30.05035129,119.9450269,杭州市;富阳区,美食;小吃快餐,0571-23285234,3997
18505,泰澜时尚泰餐(富阳店),富春银泰百货(富阳店),30.06299672,119.9368464,杭州市;富阳区,美食;东南亚菜, ,3997
18784,天津灌汤包,新登镇双溪路35号,29.96792378,119.7305773,杭州市;富阳区,美食;小吃快餐, ,2368
18793,天津灌汤包,高桥北路23号附近,30.10116901,119.935275,杭州市;富阳区,美食;小吃快餐, ,3997
19882,石铜山,天目山镇石铜山,30.17062096,119.5267066,杭州市;富阳区,地名地址;山, ,2368
20665,王氏海鲜冻品,永兴路与金浦路交叉口东南50米,30.05897515,119.9244369,杭州市;富阳区,购物;农贸市场, ,3997
20782,少数民族文化活动中心,井纸路与江南路交叉口东北200米,30.01710874,119.9632167,杭州市;富阳区,文化场馆;文化宫, ,2124
20971,上陈村作毛坞6号楼,高桥镇文化活动中心西(高洪线南),30.11486745,119.8840817,杭州市;富阳区,建筑房产;房产小区附属, ,3997
21205,杨元坎老年活动室,杨园坎村附近,30.01744166,120.0167641,杭州市;富阳区,文化场馆;文化宫, ,2124
21475,绝味鸭脖(富阳沃尔玛二店),东方茂购物中心B座2层,30.05078116,119.9275857,杭州市;富阳区,美食;小吃快餐,0571-88087621,3997
21601,绝味鸭脖(富阳新登店),新登镇新兴路21号,29.96731473,119.7289872,杭州市;富阳区,美食;小吃快餐,13454116846,2368
22051,吴山烤鸡,富春食品酿造公司(兴达路),30.06390985,119.9406318,杭州市;富阳区,美食;小吃快餐, ,3997
24544,小施盲人推拿,富春嘉禾广场东北(体育馆路),30.04669032,119.9404534,杭州市;富阳区,休闲娱乐;洗浴推拿足疗,13588383935,3997
24562,小陈修脚足疗推拿二分店,富春华亮宾馆(玉长城商业广场西南),30.06120963,119.9351484,杭州市;富阳区,休闲娱乐;洗浴推拿足疗,15558091433,3997
25075,源源副食品店,新登镇东门路11号,29.9694334,119.7312272,杭州市;富阳区,购物;便利店,13456836118,2368
25363,星之林休闲生活餐厅,市心北路38号(富阳龙山路),30.05430989,119.9546506,杭州市;富阳区,美食;中餐厅,0571-63312638,3997
25795,富阳一建,体育场路235号一建大楼,30.04630253,119.9265867,杭州市;富阳区,公司企业;公司企业, ,3997
25948,安宝月嫂催乳母婴护理中心,金城路1号温州商城308室,30.05121375,119.9256069,杭州市;富阳区,医疗保健;其它医疗保健,13968162226,3997
26695,炉货,东方茂b座1楼1003铺(沃尔玛下面),30.05070194,119.927006,杭州市;富阳区,美食;中餐厅,0571-63330797,3997
27019,永安汽修,三桥路157号附近,30.06948771,119.9104882,杭州市;富阳区,汽车;汽车维修, ,3997
27037,龙腾鞋业,居安阁快捷酒店西北(206省道),30.00558908,119.7454005,杭州市;富阳区,公司企业;公司企业, ,2368
27559,月亮湾6号楼,月亮湾6号楼(建俞线),30.03372392,119.9530053,杭州市;富阳区,建筑房产;房产小区附属, ,2124
27568,春江村月亮湾22号楼,春江街道建俞线春江村月亮湾22号楼,30.03413506,119.9525161,杭州市;富阳区,建筑房产;住宅小区, ,2124
27577,春江村月亮湾9号楼,春江村月亮湾9号楼(建俞线北),30.03415425,119.9528655,杭州市;富阳区,建筑房产;房产小区附属, ,2124
27586,春江村月亮湾3号楼,春江村月亮湾3号楼(建俞线北),30.03422339,119.9532348,杭州市;富阳区,建筑房产;房产小区附属, ,2124
29017,正新鸡排(西堤路店),大千城(富春城西幼儿园北),30.04956076,119.9452866,杭州市;富阳区,美食;小吃快餐,13386532206,3997
29107,正新,中医院富阳分院(富春江商业城南),30.05156437,119.9527542,杭州市;富阳区,美食;小吃快餐, ,3997
29962,重庆小面馆,前周路27号,30.05642747,119.9364474,杭州市;富阳区,美食;小吃快餐,13093737306,3997
30025,重庆小面,金平路110,30.0535257,119.9240175,杭州市;富阳区,美食;小吃快餐,13650590325,3997
30043,桥头火锅,新兴路12号东南商贸中心3楼,30.05344219,119.9445773,杭州市;富阳区,美食;火锅,0571-23282103,3997
30466,转转小熊,受降镇杭富路九龙大道1号杭州野生动物世界内,30.15433476,119.9783304,杭州市;富阳区,休闲娱乐;旅游景点, ,3997
30799,金烨小吃,红波路一弄北(受降邮政支局旁),30.12911286,119.9611517,杭州市;富阳区,美食;小吃快餐,13868168381,3997
30898,佬全手工面馆,307省道1店,29.90537178,119.9461071,杭州市;富阳区,美食;小吃快餐, ,2124
30997,梦佳小吃店,富阳第一医院西,30.07122561,119.9239661,杭州市;富阳区,美食;小吃快餐,15068726957,3997
31015,河南大碗面,后周何家埭1,30.06261553,119.9314417,杭州市;富阳区,美食;小吃快餐,18258297040,3997
31069,一碗面,体育馆路339,30.0465742,119.9323922,杭州市;富阳区,美食;小吃快餐,18257199077,3997
31123,一线小生过桥米线(玉长城店),富春银泰百货(富阳店),30.06299672,119.9368464,杭州市;富阳区,美食;小吃快餐, ,3997
31168,一凡香卤味,工农路15号,30.05684871,119.9462445,杭州市;富阳区,美食;小吃快餐,0571-56906638,3997
31186,韩味馆(富阳店),金桥南路4-1,30.04983852,119.9294844,杭州市;富阳区,美食;日韩菜,0571-63161523,3997
31447,美石记石锅拌饭,富春街道金平路19-2号(复城国际中心6号楼1楼19-2),30.05305049,119.9280651,杭州市;富阳区,美食;日韩菜,13735547273,3997
31636,叫只鸡,钱塘家园(六号路北),30.08384282,120.0541604,杭州市;富阳区,美食;小吃快餐,0571-63378686,2124
31663,陆记羊肉馆(高桥西路),高桥观前村192号,30.09518103,119.918726,杭州市;富阳区,美食;中餐厅, ,3997
31681,飘飘香奶茶,钱塘家园东北(六号路北),30.08608182,120.0547296,杭州市;富阳区,美食;冷饮店,15058119413,2124
31960,石浦海鲜海陆鲜烩(富阳店),劳动路7号美食城内2号楼,30.04874892,119.9292147,杭州市;富阳区,美食;中餐厅,15314688598,3997
32293,超哥饭店,文教路100弄6,30.04224151,119.934101,杭州市;富阳区,美食;中餐厅,13989831917,3997
