编号,店名,address,维度,经度,分区,分类,电话
29872,渝味重庆小面(鑫都汇店),兴耀鑫都汇1幢129号商铺,30.18528181,120.214418,杭州市;滨江区,美食;小吃快餐,18989451773
29881,正宗重庆砂锅麻辣烫砂锅饭系列,月明路1092号2楼,30.20358761,120.2037027,杭州市;滨江区,美食;小吃快餐,18258176911
29998,全哥重庆小面(长河分店),绿香街118,30.18103646,120.1894377,杭州市;滨江区,美食;小吃快餐,13666692186; 18368189126
30169,正宗麻辣烫(湖漫雅筑店),长河街道光裕路湖漫雅筑18号,30.17222429,120.1939707,杭州市;滨江区,美食;小吃快餐,13858068176
30205,光头麻辣烫,浦沿立志园北(艺洲街东),30.17874448,120.1555787,杭州市;滨江区,美食;小吃快餐,18329119345
30367,周记牛肉馆,浦沿金南创业大厦东(卓信大厦北),30.18266397,120.1498117,杭州市;滨江区,美食;小吃快餐,13958577609
30430,周记啊辣红粉,浦沿街道垃圾街大楼西6号,30.17251411,120.1496721,杭州市;滨江区,美食;小吃快餐,18792271601
30592,福建沙县小吃,西湘路北(近长一幼儿园),30.17149645,120.1779457,杭州市;滨江区,美食;小吃快餐,15957115186
31204,来一碗馄饨,迎春北苑032号,30.19979283,120.21599,杭州市;滨江区,美食;小吃快餐, 
31492,La table,滨盛路1508号海亮大厦6楼,30.21557117,120.206819,杭州市;滨江区,美食;特色中餐,0571-86801066
31699,比比客(杭州星光中心店),泰安路9号星光百货6层,30.20922033,120.2059175,杭州市;滨江区,美食;日韩菜,15990039535
31969,8090海陆空小吃卤味烤鱼,西兴街道春晓路欣盛?东方郡(东区),30.19934658,120.2104285,杭州市;滨江区,美食;小吃快餐, 
32203,枣玛露土豆汤烤肉中国5号店,泰安路9号星光百货6层,30.20923035,120.2059275,杭州市;滨江区,美食;日韩菜,18058160165
32302,鱼宇居酒屋(中赢康康谷店),春晓路中赢康康谷6幢109,30.1977459,120.2098072,杭州市;滨江区,美食;日韩菜, 
32311,黄牛馆,春晓路61号中赢康康谷6幢110室,30.19731643,120.2102182,杭州市;滨江区,美食;火锅,17681854728
32572,昆塔乐园(龙湖滨江天街店),月明路与江汉路交叉口龙湖滨江天街3F,30.20284323,120.2006152,杭州市;滨江区,生活服务;其它生活服务,0571-87172975
32608,小诺米水育乐园,滨盛路3816号(水晶城正门靠南),30.19308702,120.1626685,杭州市;滨江区,购物;母婴儿童,0571-88052117
33508,莫莉幻想(星光大道店),滨盛路1766号星光大道二期3层,30.21295564,120.2026594,杭州市;滨江区,购物;母婴儿童,0571-87177813
33661,浙江图志医药科技有限公司,浙江中医药大学百草园东北,30.17601374,120.1437051,杭州市;滨江区,公司企业;公司企业, 
33823,安大略生态城市与创意乡村研设中心,湖西路白马湖生态创意城SOHO创意园,30.16158076,120.1857289,杭州市;滨江区,教育学校;培训, 
34021,植物园周家园艺,滨康路337号,30.18344924,120.1911522,杭州市;滨江区,公司企业;公司企业, 
37441,杭州永利摩托有限公司,江虹南路256号,30.17462195,120.1989333,杭州市;滨江区,公司企业;公司企业, 
38116,动漫广场会展中心北(1)门,白马湖动漫广场,30.16414032,120.1976209,杭州市;滨江区,文化场馆;会展中心, 
38125,杭州白马湖国际会展中心停车场,白马湖路南(白马湖动漫广场旁),30.16429994,120.1973802,杭州市;滨江区,汽车;停车场, 
38134,动漫广场会展中心北(5)门,白马湖动漫广场,30.16398966,120.1971898,杭州市;滨江区,文化场馆;会展中心, 
38143,动漫广场会展中心东(4)门,白马湖动漫广场旁,30.16369145,120.1983528,杭州市;滨江区,文化场馆;会展中心, 
38260,歌山品悦大酒店-会议厅,江虹路1537歌山品悦大酒店5F,30.20523398,120.1946698,杭州市;滨江区,酒店宾馆;酒店宾馆附属,0571-87776688
38404,白马湖建国饭店,长江南路336号(动漫会展中心),30.16417168,120.1985131,杭州市;滨江区,酒店宾馆;酒店宾馆,0571-81396666
38413,正大餐厅,白马湖国际会展中心2幢,30.16286239,120.1989544,杭州市;滨江区,美食;小吃快餐, 
38422,杭州百味人生大酒店-会议厅,滨文路472,30.17629573,120.1562108,杭州市;滨江区,酒店宾馆;酒店宾馆附属,0571-87773379
38926,牡丹多功能厅,东信大道688号杭州志成大酒店5F,30.17823865,120.1406465,杭州市;滨江区,文化场馆;会展中心,0571-86689888
39133,联庄四区12号楼,浦沿伟业路联庄四区(滨江会展中心西北),30.18556043,120.1535021,杭州市;滨江区,建筑房产;住宅小区, 
39196,华为技术有限公司杭州研究所Z1-会议中心,江虹路410号华为技术有限公司杭州研究所Z1,30.18687223,120.1994436,杭州市;滨江区,文化场馆;展览馆, 
39223,喜士多便利店(悦莱皇家酒店北),南环路3760号保亿创艺大厦,30.18218615,120.1510352,杭州市;滨江区,购物;便利店,0571-81025192
39439,好灶头铜锅鱼千岛湖土菜(江晖店),江晖路1772号苏泊尔大厦2层,30.20907743,120.2037825,杭州市;滨江区,美食;中餐厅,13738159926
39790,杭州高新区(滨江)城市展览馆,泰安路200,30.21210984,120.2056667,杭州市;滨江区,文化场馆;展览馆, 
39835,三菱电机展厅,第六空间大都会国际建材馆负一楼16B,30.19804589,120.1837804,杭州市;滨江区,购物;其它购物, 
39889,歌山品悦大酒店-会议室,江虹路1537歌山品悦大酒店5F,30.20523398,120.1946698,杭州市;滨江区,酒店宾馆;酒店宾馆附属,0571-87776688
39970,臻奇汇艺术中心,臻奇汇艺术中心(信诚路东100米),30.18903182,120.1704521,杭州市;滨江区,文化场馆;美术馆, 
40141,艾乐琪,配套一路中南国际商城-A-2座2楼C2-24室,30.19895718,120.1845325,杭州市;滨江区,购物;家具家居建材, 
40357,杭州滨文丰田,聚业路16号,30.18305845,120.2113819,杭州市;滨江区,汽车;汽车销售,0571-56234567
40636,黑龙江绿色食品(滨江)展示销售中心,春晓路525号,30.20795311,120.2079923,杭州市;滨江区,生活服务;其它生活服务,0571-87807231
40753,浙江省知识产权研究与服务中心,信诚路572号浙江科技大市场2楼,30.1917188,120.1689073,杭州市;滨江区,公司企业;公司企业, 
41158,钱塘湾艺术馆,闻涛路与东信大道交叉向西600米银杏汇售楼中心,30.19050392,120.1441651,杭州市;滨江区,文化场馆;美术馆, 
41185,星民村缤纷生活馆,奥体博览城缤纷小区(丹枫路南),30.22072624,120.2207072,杭州市;滨江区,文化场馆;文化宫,13735802337
41419,杭州医学院-图书楼,滨文路481浙江医学高等专科学校,30.17417336,120.154867,杭州市;滨江区,文化场馆;图书馆, 
41446,浙江警察学院-图书馆,浙江警察学院图书馆,30.17287778,120.1460318,杭州市;滨江区,文化场馆;图书馆, 
41473,中国数字图书馆浙江机电职业技术学院分馆,滨文路526号附近,30.17801209,120.1486387,杭州市;滨江区,文化场馆;图书馆, 
41518,杭州医学院-药学系党总支,至善路附近,30.17381213,120.1541851,杭州市;滨江区,公司企业;其它机构团体, 
41527,杭州医学院-临床医学系党总支,至善路附近,30.17381213,120.1541851,杭州市;滨江区,公司企业;其它机构团体, 
41536,浦沿街道综合文化站,东冠路531-2,30.16675302,120.1545367,杭州市;滨江区,机构团体;政府机关, 
41761,浙江中医药大学滨江学院停车场-出入口,滨文路548号浙江中医药大学行政楼内浙江中医药博物馆附近,30.18029285,120.1432635,杭州市;滨江区,基础设施;门/出入口, 
41815,杭州志成大酒店-大堂吧,东信大道688号杭州志成大酒店1层,30.17823865,120.1406465,杭州市;滨江区,酒店宾馆;酒店宾馆附属,0571-86689888
41824,志成大厦地下车库,东信大道688志成大酒店,30.17816787,120.1401552,杭州市;滨江区,汽车;停车场, 
41923,杭州市滨江区西兴街道七甲闸社区居民委员会,奥体博览城缤纷北苑(丹枫路),30.22090581,120.2202363,杭州市;滨江区,机构团体;政府机关,0571-86685507
41941,莱蒙水榭春天6幢,闻涛路杭州奥体博览城莱蒙水榭春天,30.2293372,120.2224496,杭州市;滨江区,建筑房产;住宅小区, 
41986,旺昌门家餐厅(七甲店),奥体博览城七甲大酒店(丹枫路),30.22019459,120.2188739,杭州市;滨江区,美食;小吃快餐,15988678699
41995,美丽阿萨娜瑜伽馆,香溢大厦(杭州奥体博览城西南),30.21429499,120.2097658,杭州市;滨江区,运动健身;瑜伽, 
42004,身边超市(莱蒙水榭春天店),奥体博览城莱蒙水榭春天,30.22889777,120.2231207,杭州市;滨江区,购物;便利店,15158159433
42049,莱蒙水榭春天-北门人行门,奥体博览城莱蒙水榭春天,30.22899653,120.2216281,杭州市;滨江区,基础设施;门/出入口, 
42868,白马湖动漫广场,长河镇长江南路336号,30.16317998,120.1973803,杭州市;滨江区,休闲娱乐;旅游景点, 
42877,石姥桥,二号路白马湖建国饭店东100米,30.1635353,120.2009292,杭州市;滨江区,休闲娱乐;旅游景点, 
46180,己味轩私房菜,浦沿路绿城巧园西(星汇荣邸西北150米),30.17040086,120.1418304,杭州市;滨江区,美食;中餐厅,15990134615
46585,杭州瀚莱建筑装饰工程有限公司,月明路1178号,30.20284505,120.2018683,杭州市;滨江区,公司企业;公司企业, 
46801,杭州信才建筑劳务有限公司,丹枫路1075号雪峰银座7层,30.20991667,120.2032712,杭州市;滨江区,公司企业;公司企业, 
46909,江苏伯野建筑装饰有限公司,滨盛路1870号柏悦轩5层,30.21041031,120.1989204,杭州市;滨江区,公司企业;公司企业, 
47242,大运河-西兴码头与过塘行建筑群,官河路铁岭花园东(云厦连园北200米),30.19349497,120.217814,杭州市;滨江区,休闲娱乐;旅游景点, 
47710,益万家药房(风荷路店),启智街821,30.20383697,120.2109392,杭州市;滨江区,医疗保健;药房药店,15857525918
47728,杭州联合农村商业银行24小时自助银行(春晓分理处),风荷路818号,30.20407557,120.2097867,杭州市;滨江区,银行金融;自动提款机, 
47737,富嘉,风荷路812号,30.20413624,120.2103379,杭州市;滨江区,购物;家具家居建材, 
49339,杭州龙禧物业管理公司,南环路4281龙禧BOSS港,30.1816574,120.146001,杭州市;滨江区,公司企业;公司企业,0571-86631635
53083,漫卡乐园,滨盛路4072,30.19070628,120.1568314,杭州市;滨江区,购物;服饰鞋包,15715763182
54046,荷塘(滨江店),滨盛路4169,30.19052773,120.1576137,杭州市;滨江区,购物;服饰鞋包, 
54721,嘉午服饰公司,江虹路1750号,30.21059141,120.1932556,杭州市;滨江区,公司企业;公司企业, 
54874,杭州胡庆余堂天然食品有限公司,至仁街浙江艺术职业学院(东冠校区)东,30.16468479,120.1608856,杭州市;滨江区,公司企业;公司企业, 
55027,拉露娜花艺生活馆,浦沿街道浦沿路713-1号(银爵世纪东门),30.17251236,120.1427928,杭州市;滨江区,购物;花鸟鱼虫, 
56161,杭州尚康健康管理有限公司果园路内科诊所,西兴街道聚园路滨康二苑北门,30.18139937,120.2042458,杭州市;滨江区,医疗保健;诊所, 
56242,尚仕图文,长河路475号和瑞科技园S2-102,30.18711872,120.1909313,杭州市;滨江区,生活服务;其它生活服务, 
56440,中海钱塘山水小区,钱江一桥西南侧东信大道与闻涛路交叉口,30.17774073,120.1283956,杭州市;滨江区,建筑房产;住宅小区, 
56449,同方超级星期天,东信大道西端,30.18088325,120.13038,杭州市;滨江区,建筑房产;住宅小区, 
56557,六和桥,浦沿六和桥(六和路),30.18772547,120.1321839,杭州市;滨江区,基础设施;桥, 
56584,杭州六和邻里中心,西浦路1692号,30.17995354,120.1305605,杭州市;滨江区,建筑房产;商务楼宇, 
56665,钱江湾花园37幢,东信大道99号,30.17927085,120.1285358,杭州市;滨江区,建筑房产;住宅小区, 
56683,贺田尚城8幢,六和路365号,30.18291426,120.1311718,杭州市;滨江区,建筑房产;住宅小区, 
56701,贺田尚城21幢,六和路365号,30.18385372,120.1308108,杭州市;滨江区,建筑房产;住宅小区, 
56728,同康大药房(滨江分店),西浦路1673,30.18204234,120.1297384,杭州市;滨江区,医疗保健;药房药店,15888807844
56764,钱江湾花园8幢,钱塘江南岸一桥附近,30.18104956,120.1275934,杭州市;滨江区,建筑房产;住宅小区, 
56827,六和社区警务室,新和路与西浦路交叉口西南50米,30.18236258,120.1299288,杭州市;滨江区,机构团体;公检法机构, 
56836,超锐教育,钱江湾花园商铺241,30.17912227,120.1295983,杭州市;滨江区,教育学校;培训,0571-87094231
56944,金三角真人CS,湘湖风景区跨湖桥井山坞农庄内,30.15056915,120.2110438,杭州市;滨江区,休闲娱乐;户外活动,18058159718;
58780,江一村二区6-2号,滨和路江一村2区附近(滨兴东苑东南),30.19561247,120.199864,杭州市;滨江区,建筑房产;其它房产小区, 
62110,钱江龙,江汉路闻涛路交叉口射潮广场,30.21505086,120.1994613,杭州市;滨江区,休闲娱乐;旅游景点, 
62119,钱江龙一自行车租赁点,江汉路闻涛路交叉口射潮广场滨江公园,30.21424031,120.1990604,杭州市;滨江区,生活服务;其它生活服务, 
62128,夏日花园咖啡?小厨,闻涛路钱江龙左手边(靠近江晖路),30.21438739,120.1971555,杭州市;滨江区,休闲娱乐;咖啡厅,0571-85090777
62137,杭州印B座,印(钱江龙东南200米),30.21340306,120.200885,杭州市;滨江区,建筑房产;商务楼宇, 
62155,元港元气火锅餐厅(江晖店),"江晖路1930号(东和时代,钱江龙旁)",30.21283371,120.2013061,杭州市;滨江区,美食;火锅,0571-86071588
62542,复兴大桥,中河高架路(钱塘江内),30.20953947,120.1750841,杭州市;滨江区,基础设施;桥, 
62551,杭州米趣网络科技有限公司,六和路368号滨江海创基地北楼3楼B3071室,30.18895891,120.1346098,杭州市;滨江区,公司企业;公司企业,0571-86586561
62587,沸地音乐吧,闻涛路1852-10号(钱王射潮雕塑旁),30.2116108,120.1929146,杭州市;滨江区,休闲娱乐;酒吧,0571-88186555
62659,中兴和园茗水苑5号楼,中兴和园(南川路东),30.16118196,120.1753289,杭州市;滨江区,建筑房产;住宅小区, 
62668,杭州华联(茗水苑店),中兴和园茗水苑5幢,30.16110287,120.1758203,杭州市;滨江区,购物;超市,0571-85211937
62695,杭州诗诺房地产代理公司,中兴和园茗水苑3幢,30.16076275,120.1757502,杭州市;滨江区,生活服务;中介机构,0571-87388895
62704,克丽缇娜(悦隐店),中兴和园茗水苑5幢,30.16112226,120.1754894,杭州市;滨江区,生活服务;美容美发,15858184212
62776,杭州紫水磐科技有限公司,江虹国际创意园5号楼7楼,30.19328901,120.1975082,杭州市;滨江区,公司企业;公司企业, 
65305,建德山里人家(康康谷店),春晓路61号康康谷商业中心3-107,30.19860624,120.2101178,杭州市;滨江区,美食;中餐厅,13588779663
65566,杭州德庐投资有限公司,江南大道480号滨海大厦701,30.20622345,120.2008856,杭州市;滨江区,银行金融;其它银行金融, 
65575,杭州美美的盛庐住宿,盛庐小区省儿童医院滨江分院对面,30.19428348,120.1714647,杭州市;滨江区,酒店宾馆;其它酒店宾馆,13858040869
65593,杭州简庐文化艺术品有限公司,江南大道春晓路江南星座2102室,30.20737062,120.206058,杭州市;滨江区,公司企业;公司企业, 
65827,华联超市(滨江店),"江畔云庐小区35,36号商铺",30.17863817,120.1520886,杭州市;滨江区,购物;超市,0571-85372253
65836,滨文社区居家养老服务中心,江畔云庐商铺15,30.17869131,120.1538336,杭州市;滨江区,公司企业;公司企业, 
65872,七彩城精致酒店B座,盛庐(儿康路东),30.19413433,120.171916,杭州市;滨江区,酒店宾馆;酒店宾馆附属, 
